team,team_short,conference,games_won,games_lose,conference_position,games_played,points_scored,points_missed,game_won_home,game_lose_home,game_won_away,game_lose_away,seed,conf_abbr
Nuggets,DEN,West,53,29,34-18,82,115.8,112.5,34,7,19,22,1,W
Bucks,MIL,East,58,24,35-17,82,116.9,113.3,32,9,26,15,1,E
Celtics,BOS,East,57,25,34-18,82,117.9,111.4,32,9,25,16,2,E
Grizzlies,MEM,West,51,31,30-22,82,116.9,113.0,35,6,16,25,2,W
76ers,PHI,East,54,28,34-18,82,115.2,110.9,29,12,25,16,3,E
Kings,SAC,West,48,34,32-20,82,120.7,118.1,23,18,25,16,3,W
Cavaliers,CLE,East,51,31,34-18,82,112.3,106.9,31,10,20,21,4,E
Suns,PHX,West,45,37,30-22,82,113.6,111.6,28,13,17,24,4,W
Clippers,LAC,West,44,38,27-25,82,113.6,113.1,23,18,21,20,5,W
Knicks,NYK,East,47,35,32-20,82,116.0,113.1,23,18,24,17,5,E
Warriors,GSW,West,44,38,30-22,82,118.9,117.1,33,8,11,30,6,W
Nets,BKN,East,45,37,30-22,82,113.4,112.5,23,18,22,19,6,E
Lakers,LAL,West,43,39,27-25,82,117.2,116.6,23,18,20,21,7,W
Heat,MIA,East,44,38,24-28,82,109.5,109.8,27,14,17,24,7,E
Hawks,ATL,East,41,41,26-26,82,118.4,118.1,24,17,17,24,8,E
Timberwolves,MIN,West,42,40,29-23,82,115.8,115.8,22,19,20,21,8,W
Pelicans,NOP,West,42,40,29-23,82,114.4,112.5,27,14,15,26,9,W
Raptors,TOR,East,41,41,26-26,82,112.9,111.4,27,14,14,27,9,E
Bulls,CHI,East,40,42,27-25,82,113.1,111.8,22,19,18,23,10,E
Thunder,OKC,West,40,42,25-27,82,117.5,116.4,24,17,16,25,10,W
